lat,lon
51.1116,17.0601
51.115,17.0733
51.1206,17.0773
51.1244,17.0778
51.1306,17.0783
51.1316,17.0626
51.1358,17.0576
51.1379,17.0537
51.1373,17.0489
51.1367,17.0447
51.1359,17.0374
51.1366,17.0306
51.1386,17.0288
51.1414,17.0264
51.1444,17.0237
51.1478,17.0205
51.1514,17.0174
51.1575,17.0094
51.1365,16.9993
51.1324,16.9894
51.133,16.9729
51.1253,16.9834
